127.0.0.1 - - [01/Nov/2013:23:03:44 +0200] "GET /img/images/menu.png HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:23:03:44 +0200] "GET /img/bg1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:03:44 +0200] "GET /img/bg2.gif HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:03:44 +0200] "GET /img/bg3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:03:44 +0200] "GET /img/images/bg/4.jpg HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:23:03:44 +0200] "GET /img/images/menu_red.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:23:03:44 +0200] "GET /img/images/home-content-bottom-new.png HTTP/1.1" 404 236
127.0.0.1 - - [01/Nov/2013:23:03:44 +0200] "GET /img/images/menu_bg.png HTTP/1.1" 404 220
127.0.0.1 - - [01/Nov/2013:23:03:44 +0200] "GET /img/images/bg-product.png HTTP/1.1" 404 223
127.0.0.1 - - [01/Nov/2013:23:03:44 +0200] "GET /img/images/bg-story.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:23:04:24 +0200] "GET / HTTP/1.1" 200 12043
127.0.0.1 - - [01/Nov/2013:23:04:24 +0200] "GET /img/style.css HTTP/1.1" 200 6184
127.0.0.1 - - [01/Nov/2013:23:04:24 +0200] "GET /js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:04:24 +0200] "GET /js/jquery.localscroll.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:04:24 +0200] "GET /js/jquery.scrollTo.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:04:25 +0200] "GET /img/bg1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:04:25 +0200] "GET /img/bg3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:04:25 +0200] "GET /img/bg2.gif HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:04:25 +0200] "GET /img/images/bg/4.jpg HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:23:04:25 +0200] "GET /img/images/menu_red.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:23:04:25 +0200] "GET /img/images/home-content-bottom-new.png HTTP/1.1" 404 236
127.0.0.1 - - [01/Nov/2013:23:04:25 +0200] "GET /img/images/menu_bg.png HTTP/1.1" 404 220
127.0.0.1 - - [01/Nov/2013:23:04:25 +0200] "GET /img/images/bg-product.png HTTP/1.1" 404 223
127.0.0.1 - - [01/Nov/2013:23:04:25 +0200] "GET /img/images/bg-story.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:23:04:43 +0200] "GET / HTTP/1.1" 200 12061
127.0.0.1 - - [01/Nov/2013:23:04:43 +0200] "GET /img/style.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:04:43 +0200] "GET /js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:04:43 +0200] "GET /js/jquery.localscroll.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:04:43 +0200] "GET /js/jquery.scrollTo.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:04:44 +0200] "GET /img/bg1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:04:44 +0200] "GET /img/bg2.gif HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:04:44 +0200] "GET /img/bg3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:04:44 +0200] "GET /img/images/menu_red.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:23:04:44 +0200] "GET /img/images/bg/4.jpg HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:23:04:44 +0200] "GET /img/images/home-content-bottom-new.png HTTP/1.1" 404 236
127.0.0.1 - - [01/Nov/2013:23:04:44 +0200] "GET /img/images/menu_bg.png HTTP/1.1" 404 220
127.0.0.1 - - [01/Nov/2013:23:04:45 +0200] "GET /img/images/bg-story.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:23:04:45 +0200] "GET /img/images/bg-product.png HTTP/1.1" 404 223
